rejuvenation,,,,,
plot,Specie?,n,h,Browsing,notes
cs249,Fagus sylvatica,2,0,1,de tocon
cs249,Fagus sylvatica,9,1,0,
cs249,Fagus sylvatica,2,0,1,
cs250vip,Fagus sylvatica,2,1,0,
cs250vip,Fagus sylvatica,7,0,1,de tocon
cs250vip,Fagus sylvatica,2,1,0,
cs250vip,Fagus sylvatica,1,0,0,
cs250vip,Tilia cordata,2,1,0,
cs250vip,Tilia cordata,1,0,1,de tocon
cs250vip,Tilia cordata,1,0,0,de tocon
cs250vip,?,1,0,1,de tocon
cs250vip,?,1,0,1,de tocon
cs250vip,Fagus sylvatica,1,1,0,
cs250vip,Fagus sylvatica,2,0,0,
cs259vip,Fagus sylvatica,1,0,1,
cs261,Carpinus betulus,2,1,0,
cs262vip,Carpinus betulus,2,0,1,
cs262vip,?,2,0,1,prunus
cs262vip,Carpinus betulus,6,0,1,
cs262vip,Fagus sylvatica,1,0,1,
cs262vip,Carpinus betulus,3,0,1,
cs262vip,?,1,0,1,
cs262vip,Carpinus betulus,1,0,1,
cs262vip,?,2,0,1,prunus
cs262vip,Acer pseudoplatanus,1,0,1,
cs262vip,Betula pendula,1,0,1,de tocon
cs262vip,Carpinus betulus,3,0,1,
cs262vip,?,1,0,1,prunus
cs262vip,Carpinus betulus,3,0,1,
cs262vip,Betula pendula,2,1,0,de tocon
cs262vip,?,1,0,1,prunus
cs262vip,Carpinus betulus,1,0,1,
cs262vip,Fagus sylvatica,1,0,0,
cs262vip,?,1,0,1,
cs262vip,Carpinus betulus,2,0,1,
cs262vip,Carpinus betulus,1,0,1,
cs262vip,?,1,0,1,
cs262vip,Carpinus betulus,1,1,0,
cs262vip,?,1,0,1,"conifera, apice seco. Muerto"
cs262vip,Carpinus betulus,3,0,1,
cs262vip,?,3,0,1,prunus
cs262vip,Betula pendula,1,0,1,
cs262vip,?,1,0,1,birke
cs262vip,Quercus petraea,3,0,1,
cs262vip,Quercus petraea,1,0,0,
cs262vip,?,1,0,1,malus sylvestris
cs262vip,?,3,0,1,prunus
cs262vip,Quercus petraea,1,0,1,
cs262vip,Carpinus betulus,2,0,1,
cs262vip,Carpinus betulus,2,0,1,
cs262vip,Carpinus betulus,1,0,0,
cs262vip,?,2,0,1,prunus
cs262vip,?,1,0,1,
cs262vip,Carpinus betulus,3,0,1,
cs262vip,?,1,0,1,
cs262vip,Fagus sylvatica,2,0,1,
cs262vip,?,2,0,1,
cs262vip,Carpinus betulus,1,0,1,
cs262vip,?,1,0,1,prunus spinosa
cs262vip,Betula pendula,1,0,1,de tocon
cs262vip,Quercus petraea,1,0,1,
cs262vip,Quercus petraea,1,0,0,
cs268,Castanea sativa,1,0,1,de tocon
cs268,Quercus petraea,3,0,1,de tocon
cs269,Carpinus betulus,1,1,0,
cs269,Carpinus betulus,1,1,0,broken apix
cs269,Carpinus betulus,1,0,1,from stump
cs269,Castanea sativa,1,0,0,from stump
cs269,Castanea sativa,1,0,1,from stump
cs269,Carpinus betulus,1,1,0,
cs269,Carpinus betulus,1,1,0,broken apix
cs269,Carpinus betulus,1,0,1,
n15vip,Carpinus betulus,3,1,0,
n16road,Carpinus betulus,21,0,1,
n16road,Crataegus sp,1,0,1,
n16road,Carpinus betulus,13,0,1,
n16road,Carpinus betulus,8,0,1,
n16road,Carpinus betulus,1,1,0,
n16road,Carpinus betulus,9,0,1,
n16road,Carpinus betulus,1,1,1,
n16road,Carpinus betulus,12,0,1,
n16road,Carpinus betulus,10,0,1,
n16road,Carpinus betulus,9,0,1,
n16road,Carpinus betulus,1,1,1,
n16road,Carpinus betulus,13,0,1,
n16road,Carpinus betulus,1,1,0,
n52,Carpinus betulus,1,1,0,
n52,?,1,1,0,prunus avium
n52,?,1,0,1,"prunus avium. Apice sano, lados comidos"
n52,Quercus petraea,1,0,1,de tocon
n53,Carpinus betulus,10,0,1,
n53,Quercus petraea,1,0,1,
n53,Quercus petraea,1,0,1,many from stump
n53,Carpinus betulus,1,0,1,
n53,Fagus sylvatica,1,0,1,
n53,Carpinus betulus,3,0,1,
n53,Carpinus betulus,6,0,1,
n53,Quercus petraea,1,0,1,
n53,Quercus petraea,1,0,1,
n55vip,Corylus avellana,1,1,0,
n55vip,Corylus avellana,3,1,0,
n55vip,Corylus avellana,3,1,0,
n55vip,Crataegus sp,2,1,0,
n55vip,Corylus avellana,6,1,0,
n55vip,Corylus avellana,3,1,0,
n55vip,Corylus avellana,1,0,0,
n55vip,Corylus avellana,4,1,0,
n55vip,Corylus avellana,4,1,0,
n55vip,Corylus avellana,6,1,0,
n55vip,Corylus avellana,4,1,0,
n55vip,Corylus avellana,3,0,1,
n55vip,Corylus avellana,2,1,0,
